"","ecoli_state1_merged_rep1","ecoli_state1_merged_rep2","ecoli_state2_merged_rep1","ecoli_state2_merged_rep2"
"ECDH10B_4349",10496.5161111192,8529.99122360199,315.902802732916,298.245233064204
"ECDH10B_4523",136.543174036179,143.258009993316,3721.40444538117,3587.98053110573
"ECDH10B_2363",1709.67439039666,1354.81146593678,0,0
"ECDH10B_0285",2173.15192480115,0,0,0
"ECDH10B_2312",144.235747221315,166.793254492217,2006.99943902686,2952.32654952444
"ECDH10B_2203",0,0,2587.22907669957,1178.92223440194
"ECDH10B_1371",1357.73916717665,740.848565965432,0,0
"ECDH10B_0283",1276.96714873271,0,0,0
"ECDH10B_3289",1188.50255710364,0,0,0
"ECDH10B_2842",0,0,1112.35476692297,1208.04382281561
"ECDH10B_2202",0,0,1364.28353268171,729.043903045832
"ECDH10B_4347",1159.65540765938,1002.80606995321,26.2839066638062,51.2138278999138
"ECDH10B_2206",0,0,1358.82838224206,651.721064844001
"ECDH10B_3292",734.640739180567,0,0,0
"ECDH10B_2176",276.932634664926,237.398987988923,3344.99906504477,2108.80467823175
"ECDH10B_2210",0,0,1527.93804587145,573.394033938251
"ECDH10B_4215",0,0,766.200675388313,685.863616777277
"ECDH10B_0965",640.406717662641,424.657672480186,0,0
"ECDH10B_2200",0,0,1014.16205900913,542.264060116735
"ECDH10B_3173",598.097565144388,396.006070481522,0,0
"ECDH10B_2359",434.630384960231,490.14704847713,0,0
"ECDH10B_2199",0,0,870.344456509055,522.180206038337
"ECDH10B_3174",1365.43174036179,827.826643461374,52.0718905603708,66.276718458712
"ECDH10B_4134",857.721910142756,315.167621985294,0,0
"ECDH10B_0973",22660.3974601168,16346.7622117373,4396.35533159702,4354.17956419659
"ECDH10B_2201",0,0,772.647671362454,502.096351959939
"ECDH10B_2843",0,0,517.743369000258,660.75879917928
"ECDH10B_2895",675.023296995756,313.12107898539,0,0
"ECDH10B_4131",5238.64233907818,4145.27284630658,449.801949888155,743.10260090071
"ECDH10B_3541",2521.24086142859,873.873860959225,46.6167401207129,68.2851038665518
"ECDH10B_1817",0,0,463.191864603679,589.461117200969
"ECDH10B_2198",0,0,703.714406715868,399.668696160112
"ECDH10B_0974",4269.37811775094,2214.35952589668,326.813103612232,329.37520688572
"ECDH10B_3291",2990.48782572194,65.4893759969443,0,0
"ECDH10B_0799",8334.90304609575,4719.3281577798,982.423001905662,723.018746822313
"ECDH10B_3132",4529.0024627493,1580.95446742623,184.483269413885,178.746301297738
"ECDH10B_3332",401.936948923399,274.236761987204,0,0
"ECDH10B_2204",0,0,628.334146095141,339.417133924919
"ECDH10B_3894",346.165793331157,0,0,0
"ECDH10B_1895",1259.65885906615,1238.15851494223,153.736057844904,106.444426615507
"ECDH10B_3398",0,0,667.016121939988,318.329087142602
"ECDH10B_2195",0,0,504.353454284734,364.521951522916
"ECDH10B_2402",2413.54483683668,1230.99561444256,158.69528551732,106.444426615507
"ECDH10B_0790",1709.67439039666,1486.81348943063,6168.78330171859,5652.600730365
"ECDH10B_2116",8711.83913216745,0,0,0
"ECDH10B_2047",580.78927547783,197.491399490785,0,0
"ECDH10B_2212",0,0,684.373418793445,291.215884136765
"ECDH10B_1820",0,0,327.804949146715,507.117315479539
"ECDH10B_2038",0,0,419.550661086416,367.534529634676
"ECDH10B_2209",0,0,594.115475155469,282.178149801486
"ECDH10B_3331",313.472357294326,261.957503987777,0,0
"ECDH10B_1541",651.945577440346,429.774029979947,3006.77973778598,3614.08954140764
"ECDH10B_1091",0,0,395.250445491576,310.295545511243
"ECDH10B_3147",425.014668478809,181.119055491549,0,0
"ECDH10B_3726",13275.4581742499,309.027992985581,30.2512888017392,58.243176827353
"ECDH10B_2194",0,0,372.437998198462,306.278774695563
"ECDH10B_2361",176.929183258147,346.889038483814,0,0
"ECDH10B_2207",0,0,631.805605465832,184.771457521258
"ECDH10B_2205",0,0,467.655169508854,220.922394862373
"ECDH10B_1582",182.698613147,221.026643989687,1274.52151181098,1310.47147861544
"ECDH10B_0800",5140.56203096768,3141.44350485342,761.737370483138,514.146664406978
"ECDH10B_3543",261.547488294652,198.514670990737,0,0
"ECDH10B_3653",296.164067627768,177.02596949174,0,0
"ECDH10B_0792",2982.7952525368,2762.83304987109,12604.3730522132,8902.16832024973
"ECDH10B_2196",0,0,487.492080198519,193.809191856537
"ECDH10B_2197",0,0,378.389071405361,227.951743789812
"ECDH10B_4020",240.392912035526,269.120404487443,1434.70456563003,2746.46704522087
"ECDH10B_4433",1500.05177110168,1925.79696291014,267.798294310478,328.3710141818
"ECDH10B_2360",205.77633270241,225.119729989496,0,0
"ECDH10B_4332",10096.5023054921,3167.02529235223,671.975349612404,581.42757556961
"ECDH10B_4490",0,0,232.091855069081,319.333279846521
"ECDH10B_2362",153.851463702736,288.562562986536,0,0
"ECDH10B_1955",4688.62335634089,1497.04620443015,280.692286258761,218.914009454534
"ECDH10B_1957",2688.55432820532,958.805395455262,132.411378853514,150.628905587982
"ECDH10B_3631",271.163204776073,154.51399649279,0,0
"ECDH10B_0130",419.245238589957,282.422933986822,1962.36638997512,1950.1422310124
"ECDH10B_1356",0,0,387.31568121571,185.775650225178
"ECDH10B_4118",3015.48868857363,2597.06306687882,750.827069603823,739.085830085031
"ECDH10B_1889",182.698613147,218.980100989782,0,0
"ECDH10B_4538",728.871309291714,474.797975977846,44.1371262845048,50.2096351959939
"ECDH10B_3651",175.006039961863,224.096458489544,0,0
"ECDH10B_2070",553.865269329851,736.755479965623,65.9577280431363,55.2305987155933
"ECDH10B_2894",511.556116811599,78.7919054963236,0,0
"ECDH10B_2250",0,0,386.819758448469,169.70856696246
"ECDH10B_0789",238.469768739242,179.072512491645,1235.83953596613,1272.31215586649
"ECDH10B_3512",0,0,330.780485750165,173.725337778139
"ECDH10B_1127",0,0,220.685631422524,248.03559786821
"ECDH10B_2356",180.775469850715,184.188869991406,0,0
"ECDH10B_2697",842.336763772482,1030.43440045192,4595.71628402815,3293.7520688572
"ECDH10B_4346",1117.34625514112,531.07790847522,44.1371262845048,70.2934892743915
"ECDH10B_1813",0,0,191.922110922509,275.148800874047
"ECDH10B_0925",0,0,314.910957198433,170.712759666379
"ECDH10B_3400",0,0,274.24529028462,184.771457521258
"ECDH10B_3402",138.466317332463,86.9780774959416,1708.4539331474,806.366741247663
"ECDH10B_2400",4665.54563678548,1300.57807643932,199.360952431134,281.173957097566
"ECDH10B_0294",205.77633270241,138.141652493554,0,0
"ECDH10B_1899",534.633836367009,733.685665465766,2475.6464540702,2926.21753922253
"ECDH10B_1553",438.476671552799,57.3032039973262,0,0
"ECDH10B_1355",0,0,229.116318465631,185.775650225178
"ECDH10B_0015",2019.30046109842,1853.14468641353,472.61439718127,529.209554965776
"ECDH10B_2898",1269.27457554758,590.427655472451,66.453650810378,96.4024995763084
"ECDH10B_1283",257.701201702084,97.2107924954642,0,0
"ECDH10B_2365",200.006902813557,122.792579994271,0,0
"ECDH10B_0882",2057.7633270241,1893.05227491167,551.96203993993,459.920258395305
"ECDH10B_1816",0,0,131.419533319031,298.245233064204
"ECDH10B_2896",342.319506738589,62.4195614970875,0,0
"ECDH10B_2401",2577.01201702084,966.99156745488,211.759021612175,150.628905587982
"ECDH10B_3429",1138.50083140025,1107.17976294834,128.939919482823,212.888853231014
"ECDH10B_2920",0,0,540.059893526131,63.2641403469524
"ECDH10B_2840",0,0,196.385415827684,178.746301297738
"ECDH10B_2698",269.240061479789,404.19224248114,1665.80457516462,1658.92634687564
"ECDH10B_3652",188.468043035852,112.559864994748,0,0
"ECDH10B_3330",1561.59235658277,587.357840972594,92.2416347069425,102.427655799828
"ECDH10B_0794",2226.99993709711,2032.21719890518,5532.51439134759,5678.70974066692
"ECDH10B_3630",151.928320406452,133.025294993793,0,0
"ECDH10B_1923",153.851463702736,127.908937494032,0,0
"ECDH10B_1757",0,0,133.403224387998,232.972707309412
"ECDH10B_2358",115.388597777052,163.723439992361,0,0
"ECDH10B_3723",6207.90656040542,5657.66812323601,13439.0110694808,14097.8613703312
"ECDH10B_1721",476.939537478483,535.170994475029,56.0392726983038,67.2809111626319
"ECDH10B_0927",0,0,195.393570293201,140.586978548783
"ECDH10B_2211",0,0,177.044427905261,148.620520180142
"ECDH10B_1891",105.772881295631,148.374367493077,0,0
"ECDH10B_2092",0,0,136.874683758689,177.742108593819
"ECDH10B_3052",215.392049183831,63.4428329970398,0,0
"ECDH10B_3171",921.185638920135,947.549408955787,152.248289543179,64.2683330508722
"ECDH10B_2841",0,0,183.491423879402,126.528280693905
"ECDH10B_0791",955.80221825325,827.826643461374,4041.77055301926,2640.02261860536
"ECDH10B_3629",103.849737999347,138.141652493554,0,0
"ECDH10B_2046",884.645916290735,642.614501970016,121.005155206957,64.2683330508722
"ECDH10B_2704",0,0,153.736057844904,145.607942068382
"ECDH10B_1284",128.850600851042,105.396964495082,0,0
"ECDH10B_0801",217.315192480115,54.2333894974695,0,0
"ECDH10B_1662",0,0,146.793139103521,136.570207733104
"ECDH10B_3583",173.082896665579,68.559190496801,0,0
"ECDH10B_2282",0,0,178.532196206986,109.457004727267
"ECDH10B_2355",151.928320406452,75.7220909964668,0,0
"ECDH10B_2287",0,0,152.248289543179,119.498931766466
"ECDH10B_1578",178.852326554431,57.3032039973262,0,0
"ECDH10B_0739",886.569059587019,641.591230470063,2426.05417734604,2623.95553534264
"ECDH10B_2746",121.158027665905,89.0246204958461,0,0
"ECDH10B_1358",0,0,138.858374827655,122.511509878225
"ECDH10B_4306",0,0,261.847221103579,57.2389841234331
"ECDH10B_2095",0,0,131.419533319031,126.528280693905
"ECDH10B_4439",100.003451406779,104.37369299513,0,0
"ECDH10B_0407",0,0,108.111163258675,150.628905587982
"ECDH10B_3799",2488.54742539176,2027.10084140542,746.85968746589,738.081637381111
"ECDH10B_4522",0,57.3032039973262,1690.10479075946,1276.32892668217
"ECDH10B_1956",2778.94206313068,869.780774959416,275.733058586344,175.733723185979
"ECDH10B_3769",0,0,104.639703887983,148.620520180142
"ECDH10B_1298",0,0,102.656012819017,149.624712884062
"ECDH10B_2036",0,0,134.395069922481,112.469582839026
"ECDH10B_3800",613.482711514662,986.433725953973,134.890992689722,153.641483699741
"ECDH10B_2008",0,0,129.931765017306,112.469582839026
"ECDH10B_3572",853.875623550187,1188.01821144457,241.01846487943,231.968514605492
"ECDH10B_0754",0,0,87.7783298017679,160.670832627181
"ECDH10B_1522",0,0,126.460305646615,113.473775542946
"ECDH10B_2260",0,0,117.533695836265,121.507317174305
"ECDH10B_0014",19764.1436559128,5075.42663976318,1609.76530246632,2364.87381773131
"ECDH10B_0793",3528.96794868152,2398.54839588808,8773.86559803886,7757.38863778106
"ECDH10B_0820",0,0,135.386915456964,100.419270391988
"ECDH10B_0788",334.626933553452,570.985496973358,2304.0571766046,1630.80895116588
"ECDH10B_3019",142.312603925031,54.2333894974695,0,0
"ECDH10B_0976",0,0,109.598931560399,120.503124470385
"ECDH10B_2747",3503.96708582982,2143.75379239997,53.5596588620957,412.72320131107
"ECDH10B_1625",0,0,80.8354110603851,155.649869107581
"ECDH10B_1668",0,0,111.582622629366,115.482160950786
"ECDH10B_3889",4659.77620689663,4853.37672427354,10358.8347621431,9686.44282201115
"ECDH10B_0918",125.004314258473,61.3962899971353,0,0
"ECDH10B_2584",0,0,177.540350672502,66.276718458712
"ECDH10B_2303",123.081170962189,58.3264754972785,0,0
"ECDH10B_3329",1711.59753369294,722.429678966292,218.206017586316,199.834348080056
"ECDH10B_2760",7400.25540410162,1916.58751941057,842.076858776282,676.825882441998
"ECDH10B_1886",0,0,148.280907405246,70.2934892743915
"ECDH10B_1829",0,0,121.99700074144,87.3647652410295
"ECDH10B_4105",5361.72351004037,3042.18616935805,1239.31099533682,1315.49244213504
"ECDH10B_4558",0,0,66.453650810378,145.607942068382
"ECDH10B_1975",0,0,163.158590422495,56.2347914195132
"ECDH10B_1354",0,0,146.29721633628,62.2599476430325
"ECDH10B_4534",0,0,78.355797224177,120.503124470385
"ECDH10B_1808",103.849737999347,55.2566609974217,0,0
"ECDH10B_3158",0,0,96.7049396121172,95.3983068723885
"ECDH10B_1621",0,0,126.460305646615,70.2934892743915
"ECDH10B_1492",0,0,93.7294030086674,97.4066922802283
"ECDH10B_3744",0,0,112.078545396608,80.3354163135903
"ECDH10B_1614",0,0,68.4373418793445,127.532473397825
"ECDH10B_1208",4605.92819460067,3198.74670885075,9126.46668554765,10332.1387306316
"ECDH10B_2674",873.107056513029,1308.76424843893,2898.66857452731,3675.34529634676
"ECDH10B_3389",0,0,114.062236465574,77.3228382018307
"ECDH10B_2591",3311.6527562014,1272.9497459406,501.377917681284,470.966378138423
"ECDH10B_1313",0,0,106.127472189708,78.3270309057505
"ECDH10B_3403",1103.88425206713,759.267452964573,248.953229155297,226.947551085893
"EBG00001089610",0,0,89.7620208707344,92.3857287606289
"ECDH10B_2588",0,0,83.3150248965933,99.415077688068
"ECDH10B_1650",0,0,100.176398982809,78.3270309057505
"ECDH10B_0964",1913.52757980278,897.409105458127,0,53.2222133077536
"ECDH10B_2009",0,0,48.1045084224378,141.591171252703
"ECDH10B_4331",3509.73651571868,1277.04283194041,545.019121198548,476.991534361942
"ECDH10B_0795",1844.29442113655,1320.02023493841,3831.99522247605,4317.02443415156
"ECDH10B_1620",0,0,68.9332646465861,105.440233911587
"ECDH10B_3624",0,0,109.103008793158,65.2725257547921
"ECDH10B_2245",1605.82465239731,743.918380465289,275.237135819103,234.981092717252
"ECDH10B_4212",651.945577440346,652.847216969538,179.524041741469,154.645676403661
"ECDH10B_4461",0,0,129.931765017306,50.2096351959939
"ECDH10B_1243",557.71155592242,513.682292976032,1449.08632588003,1474.15488935438
"ECDH10B_2322",0,0,68.9332646465861,100.419270391988
"ECDH10B_3197",0,0,123.980691810407,52.2180206038337
"ECDH10B_0871",0,0,75.3802606207272,90.3773433527891
"ECDH10B_1698",0,0,39.6738213793301,142.595363956623
